Years,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,totalCases
        Michigan,,,,,,,,,,,,,,,,,,,,56709,,55424,,,,,,,,49825,48460,,,,,,,44883,45176,43686,344163
        Minnesota,,,,,,,,,,,,,,,,,,,,13085,,13145,,,,,,,,12874,12515,,,,,,,13345,12403,13332,90699
        Mississippi,,,,,,,,,,,,,,,,,,,,9671,,10006,,,,,,,,8451,8003,,,,,,,7661,7929,8272,59993
        Missouri,,,,,,,,,,,,,,,,,,,,27353,,30472,,,,,,,,29513,27252,,,,,,,32450,30696,30380,208116
        Montana,,,,,,,,,,,,,,,,,,,,1823,,3187,,,,,,,,2798,2693,,,,,,,3937,4040,4328,22806
        Nebraska,,,,,,,,,,,,,,,,,,,,7167,,5214,,,,,,,,5199,5104,,,,,,,5979,5583,5821,40067
        Nevada,,,,,,,,,,,,,,,,,,,,10311,,12359,,,,,,,,18639,17841,,,,,,,16663,16715,15210,107738
        New Hampshire,,,,,,,,,,,,,,,,,,,,1159,,2144,,,,,,,,2125,2198,,,,,,,2642,2404,2074,14746
        New Jersey,,,,,,,,,,,,,,,,,,,,33540,,33094,,,,,,,,27113,27055,,,,,,,20604,18536,18375,178317
        New Mexico,,,,,,,,,,,,,,,,,,,,14520,,14288,,,,,,,,12709,12126,,,,,,,16300,17637,17450,105030
        New York,,,,,,,,,,,,,,,,,,,,107147,,98103,,,,,,,,75110,75977,,,,,,,70746,68512,69764,565359
        North Carolina,,,,,,,,,,,,,,,,,,,,41474,,40465,,,,,,,,37946,34653,,,,,,,38043,36980,38995,268556
        North Dakota,,,,,,,,,,,,,,,,,,,,424,,505,,,,,,,,1723,1513,,,,,,,2133,2154,2169,10621
        Ohio,,,,,,,,,,,,,,,,,,,,35616,,40023,,,,,,,,38305,36366,,,,,,,34621,34426,34269,253626
        Oklahoma,,,,,,,,,,,,,,,,,,,,17066,,17726,,,,,,,,18560,17987,,,,,,,17989,18701,17086,125115
        Oregon,,,,,,,,,,,,,,,,,,,,12432,,10650,,,,,,,,9968,9655,,,,,,,11629,12146,11995,78475
        Pennsylvania,,,,,,,,,,,,,,,,,,,,14180,,50432,,,,,,,,48188,46514,,,,,,,40030,39099,39228,277671
        Rhode Island,,,,,,,,,,,,,,,,,,,,2840,,3278,,,,,,,,2678,2701,,,,,,,2474,2326,2342,18639
        South Carolina,,,,,,,,,,,,,,,,,,,,32920,,29265,,,,,,,,30799,27648,,,,,,,25412,25463,26323,197830
        South Dakota,,,,,,,,,,,,,,,,,,,,1227,,1171,,,,,,,,1777,2186,,,,,,,3753,3483,3530,17127
        Tennessee,,,,,,,,,,,,,,,,,,,,38111,,42778,,,,,,,,41933,38921,,,,,,,43940,42687,40647,289017
